1 132959  Note_on_c 0 62 0 
1 132959  Note_on_c 0 60 0 
1 132959  Note_on_c 0 57 0 
1 132960  Note_on_c 0 64 80 
1 132960  Note_on_c 0 60 80 
1 132960  Note_on_c 0 57 80 
1 133439  Note_on_c 0 64 0 
1 133439  Note_on_c 0 60 0 
1 133439  Note_on_c 0 57 0 
1 133440  Note_on_c 0 62 80 
1 133440  Note_on_c 0 58 80 
1 133440  Note_on_c 0 53 80 
1 133919  Note_on_c 0 62 0 
1 133919  Note_on_c 0 58 0 
1 133919  Note_on_c 0 53 0 
1 133920  Note_on_c 0 60 80 
1 133920  Note_on_c 0 53 80 
1 134399  Note_on_c 0 60 0 
1 134399  Note_on_c 0 53 0 
1 134400  Note_on_c 0 60 80 
1 134400  Note_on_c 0 53 80 
1 134639  Note_on_c 0 60 0 
1 134639  Note_on_c 0 53 0 
1 134640  Note_on_c 0 62 80 
1 134759  Note_on_c 0 62 0 
1 134760  Note_on_c 0 60 80 
1 134879  Note_on_c 0 60 0 
1 134880  Note_on_c 0 57 80 
1 135119  Note_on_c 0 57 0 
1 135120  Note_on_c 0 55 80 
1 135359  Note_on_c 0 55 0 
1 135360  Note_on_c 0 57 80 
1 136319  Note_on_c 0 57 0 
1 136320  Note_on_c 0 58 80 
1 136320  Note_on_c 0 55 80 
1 136559  Note_on_c 0 58 0 
1 136559  Note_on_c 0 55 0 
1 136560  Note_on_c 0 58 80 
1 136560  Note_on_c 0 55 80 
1 136799  Note_on_c 0 58 0 
1 136799  Note_on_c 0 55 0 
1 136800  Note_on_c 0 62 80 
1 136800  Note_on_c 0 58 80 
1 136800  Note_on_c 0 55 80 
1 137279  Note_on_c 0 62 0 
1 137279  Note_on_c 0 58 0 
1 137279  Note_on_c 0 55 0 
1 137280  Note_on_c 0 67 80 
1 137280  Note_on_c 0 61 80 
1 137280  Note_on_c 0 57 80 
1 137759  Note_on_c 0 67 0 
1 137759  Note_on_c 0 61 0 
1 137759  Note_on_c 0 57 0 
1 137760  Note_on_c 0 64 80 
1 137760  Note_on_c 0 61 80 
1 137760  Note_on_c 0 57 80 
1 138239  Note_on_c 0 64 0 
1 138239  Note_on_c 0 61 0 
1 138239  Note_on_c 0 57 0 
1 138240  Note_on_c 0 65 80 
1 138240  Note_on_c 0 62 80 
1 138240  Note_on_c 0 60 80 
1 138240  Note_on_c 0 57 80 
1 138479  Note_on_c 0 65 0 
1 138479  Note_on_c 0 62 0 
1 138479  Note_on_c 0 60 0 
1 138479  Note_on_c 0 57 0 
1 138480  Note_on_c 0 60 80 
1 138599  Note_on_c 0 60 0 
1 138600  Note_on_c 0 61 80 
1 138719  Note_on_c 0 61 0 
1 138720  Note_on_c 0 62 80 
1 138839  Note_on_c 0 62 0 
1 138840  Note_on_c 0 65 80 
1 138959  Note_on_c 0 65 0 
1 138960  Note_on_c 0 67 80 
1 139079  Note_on_c 0 67 0 
1 139080  Note_on_c 0 65 80 
1 139199  Note_on_c 0 65 0 
1 139200  Note_on_c 0 68 80 
1 139319  Note_on_c 0 68 0 
1 139320  Note_on_c 0 67 80 
1 139439  Note_on_c 0 67 0 
1 139440  Note_on_c 0 65 80 
1 139559  Note_on_c 0 65 0 
1 139560  Note_on_c 0 67 80 
1 139679  Note_on_c 0 67 0 
1 139680  Note_on_c 0 74 80 
1 139799  Note_on_c 0 74 0 
1 139800  Note_on_c 0 68 80 
1 139919  Note_on_c 0 68 0 
1 139920  Note_on_c 0 67 80 
1 140039  Note_on_c 0 67 0 
1 140040  Note_on_c 0 62 80 
1 140159  Note_on_c 0 62 0 
1 140160  Note_on_c 0 65 80 
1 140160  Note_on_c 0 60 80 
1 140639  Note_on_c 0 65 0 
1 140639  Note_on_c 0 60 0 
1 140640  Note_on_c 0 64 80 
1 140640  Note_on_c 0 60 80 
1 141119  Note_on_c 0 64 0 
1 141119  Note_on_c 0 60 0 
1 141120  Note_on_c 0 62 80 
1 141120  Note_on_c 0 60 80 
1 141599  Note_on_c 0 62 0 
1 141599  Note_on_c 0 60 0 
1 141600  Note_on_c 0 60 80 
1 142079  Note_on_c 0 60 0 
1 142080  Note_on_c 0 60 80 
1 142080  Note_on_c 0 57 80 
1 142080  Note_on_c 0 53 80 
1 142319  Note_on_c 0 60 0 
1 142319  Note_on_c 0 57 0 
1 142319  Note_on_c 0 53 0 
1 142320  Note_on_c 0 62 80 
1 142439  Note_on_c 0 62 0 
1 142440  Note_on_c 0 60 80 
1 142559  Note_on_c 0 60 0 
1 142560  Note_on_c 0 57 80 
1 142799  Note_on_c 0 57 0 
1 142800  Note_on_c 0 55 80 
1 143039  Note_on_c 0 55 0 
1 143040  Note_on_c 0 57 80 
1 143519  Note_on_c 0 57 0 
1 143520  Note_on_c 0 57 80 
1 143759  Note_on_c 0 57 0 
1 143760  Note_on_c 0 60 80 
1 143999  Note_on_c 0 60 0 
1 144000  Note_on_c 0 62 80 
1 144000  Note_on_c 0 59 80 
1 144000  Note_on_c 0 55 80 
1 144239  Note_on_c 0 62 0 
1 144239  Note_on_c 0 59 0 
1 144239  Note_on_c 0 55 0 
1 144240  Note_on_c 0 62 80 
1 144240  Note_on_c 0 59 80 
1 144240  Note_on_c 0 55 80 
1 144479  Note_on_c 0 62 0 
1 144479  Note_on_c 0 59 0 
1 144479  Note_on_c 0 55 0 
1 144720  Note_on_c 0 62 80 
1 144720  Note_on_c 0 59 80 
1 144720  Note_on_c 0 55 80 
1 144959  Note_on_c 0 62 0 
1 144959  Note_on_c 0 59 0 
1 144959  Note_on_c 0 55 0 
1 144960  Note_on_c 0 65 80 
1 144960  Note_on_c 0 62 80 
1 144960  Note_on_c 0 59 80 
1 145439  Note_on_c 0 65 0 
1 145439  Note_on_c 0 62 0 
1 145439  Note_on_c 0 59 0 
1 145440  Note_on_c 0 67 80 
1 145440  Note_on_c 0 62 80 
1 145440  Note_on_c 0 59 80 
1 145919  Note_on_c 0 67 0 
1 145919  Note_on_c 0 62 0 
1 145919  Note_on_c 0 59 0 
1 145920  Note_on_c 0 64 80 
1 145920  Note_on_c 0 61 80 
1 145920  Note_on_c 0 57 80 
1 146879  Note_on_c 0 64 0 
1 146879  Note_on_c 0 61 0 
1 146879  Note_on_c 0 57 0 
1 147360  Note_on_c 0 62 80 
1 147360  Note_on_c 0 50 80 
1 147599  Note_on_c 0 62 0 
1 147599  Note_on_c 0 50 0 
1 147600  Note_on_c 0 65 80 
1 147600  Note_on_c 0 53 80 
1 147839  Note_on_c 0 65 0 
1 147839  Note_on_c 0 53 0 
1 147840  Note_on_c 0 67 80 
1 147840  Note_on_c 0 55 80 
1 148199  Note_on_c 0 67 0 
1 148199  Note_on_c 0 55 0 
1 148200  Note_on_c 0 67 80 
1 148200  Note_on_c 0 55 80 
1 148559  Note_on_c 0 67 0 
1 148559  Note_on_c 0 55 0 
1 148560  Note_on_c 0 69 80 
1 148560  Note_on_c 0 57 80 
1 148799  Note_on_c 0 69 0 
1 148799  Note_on_c 0 57 0 
1 148800  Note_on_c 0 69 80 
1 148800  Note_on_c 0 62 80 
1 148800  Note_on_c 0 57 80 
1 149519  Note_on_c 0 69 0 
1 149519  Note_on_c 0 62 0 
1 149519  Note_on_c 0 57 0 
1 149520  Note_on_c 0 69 80 
1 149520  Note_on_c 0 62 80 
1 149520  Note_on_c 0 57 80 
1 149759  Note_on_c 0 69 0 
1 149759  Note_on_c 0 62 0 
1 149759  Note_on_c 0 57 0 
1 149760  Note_on_c 0 72 80 
1 149760  Note_on_c 0 64 80 
1 149999  Note_on_c 0 72 0 
1 149999  Note_on_c 0 64 0 
1 150000  Note_on_c 0 74 80 
1 150239  Note_on_c 0 74 0 
1 150240  Note_on_c 0 67 80 
1 150479  Note_on_c 0 67 0 
1 150480  Note_on_c 0 65 80 
1 150719  Note_on_c 0 65 0 
1 150720  Note_on_c 0 69 80 
1 150720  Note_on_c 0 65 80 
1 150720  Note_on_c 0 60 80 
1 151199  Note_on_c 0 69 0 
1 151199  Note_on_c 0 65 0 
1 151199  Note_on_c 0 60 0 
1 151200  Note_on_c 0 62 80 
1 151439  Note_on_c 0 62 0 
1 151440  Note_on_c 0 65 80 
1 151679  Note_on_c 0 65 0 
1 151680  Note_on_c 0 67 80 
1 151680  Note_on_c 0 62 80 
1 152039  Note_on_c 0 67 0 
1 152039  Note_on_c 0 62 0 
1 152040  Note_on_c 0 67 80 
1 152040  Note_on_c 0 62 80 
1 152399  Note_on_c 0 67 0 
1 152399  Note_on_c 0 62 0 
1 152400  Note_on_c 0 69 80 
1 152400  Note_on_c 0 65 80 
1 152400  Note_on_c 0 62 80 
1 152639  Note_on_c 0 69 0 
1 152639  Note_on_c 0 65 0 
1 152639  Note_on_c 0 62 0 
1 152640  Note_on_c 0 69 80 
1 152640  Note_on_c 0 65 80 
1 152640  Note_on_c 0 62 80 
1 153359  Note_on_c 0 69 0 
1 153359  Note_on_c 0 65 0 
1 153359  Note_on_c 0 62 0 
1 153360  Note_on_c 0 69 80 
1 153360  Note_on_c 0 65 80 
1 153360  Note_on_c 0 62 80 
1 153599  Note_on_c 0 69 0 
1 153599  Note_on_c 0 65 0 
1 153599  Note_on_c 0 62 0 
1 153600  Note_on_c 0 70 80 
1 153600  Note_on_c 0 60 80 
1 153839  Note_on_c 0 70 0 
1 153839  Note_on_c 0 60 0 
1 153840  Note_on_c 0 69 80 
1 153840  Note_on_c 0 60 80 
1 154079  Note_on_c 0 69 0 
1 154079  Note_on_c 0 60 0 
1 154080  Note_on_c 0 67 80 
1 154080  Note_on_c 0 60 80 
1 154319  Note_on_c 0 67 0 
1 154319  Note_on_c 0 60 0 
1 154320  Note_on_c 0 65 80 
1 154320  Note_on_c 0 60 80 
1 154559  Note_on_c 0 65 0 
1 154559  Note_on_c 0 60 0 
1 154560  Note_on_c 0 65 80 
1 154560  Note_on_c 0 60 80 
1 154560  Note_on_c 0 57 80 
1 155039  Note_on_c 0 65 0 
1 155039  Note_on_c 0 60 0 
1 155039  Note_on_c 0 57 0 
1 155040  Note_on_c 0 62 80 
1 155279  Note_on_c 0 62 0 
1 155280  Note_on_c 0 65 80 
1 155519  Note_on_c 0 65 0 
1 155520  Note_on_c 0 67 80 
1 155520  Note_on_c 0 62 80 
1 155879  Note_on_c 0 67 0 
1 155879  Note_on_c 0 62 0 
1 155880  Note_on_c 0 67 80 
1 155880  Note_on_c 0 62 80 
1 156239  Note_on_c 0 67 0 
1 156239  Note_on_c 0 62 0 
1 156240  Note_on_c 0 69 80 
1 156240  Note_on_c 0 65 80 
1 156240  Note_on_c 0 62 80 
1 156479  Note_on_c 0 69 0 
1 156479  Note_on_c 0 65 0 
1 156479  Note_on_c 0 62 0 
1 156480  Note_on_c 0 69 80 
1 156480  Note_on_c 0 65 80 
1 156480  Note_on_c 0 62 80 
1 157199  Note_on_c 0 69 0 
1 157199  Note_on_c 0 65 0 
1 157199  Note_on_c 0 62 0 
1 157200  Note_on_c 0 69 80 
1 157200  Note_on_c 0 65 80 
1 157200  Note_on_c 0 62 80 
1 157439  Note_on_c 0 69 0 
1 157439  Note_on_c 0 65 0 
1 157439  Note_on_c 0 62 0 
1 157440  Note_on_c 0 72 80 
1 157440  Note_on_c 0 64 80 
1 157679  Note_on_c 0 72 0 
1 157679  Note_on_c 0 64 0 
1 157680  Note_on_c 0 74 80 
1 157919  Note_on_c 0 74 0 
1 157920  Note_on_c 0 67 80 
1 158159  Note_on_c 0 67 0 
1 158160  Note_on_c 0 65 80 
1 158399  Note_on_c 0 65 0 
1 158400  Note_on_c 0 69 80 
1 158400  Note_on_c 0 65 80 
1 158400  Note_on_c 0 60 80 
1 158879  Note_on_c 0 69 0 
1 158879  Note_on_c 0 65 0 
1 158879  Note_on_c 0 60 0 
1 158880  Note_on_c 0 62 80 
1 159119  Note_on_c 0 62 0 
1 159120  Note_on_c 0 65 80 
1 159359  Note_on_c 0 65 0 
1 159360  Note_on_c 0 70 80 
1 159360  Note_on_c 0 62 80 
1 159839  Note_on_c 0 70 0 
1 159839  Note_on_c 0 62 0 
1 159840  Note_on_c 0 69 80 
1 159840  Note_on_c 0 62 80 
1 160319  Note_on_c 0 69 0 
1 160319  Note_on_c 0 62 0 
1 160320  Note_on_c 0 67 80 
1 160320  Note_on_c 0 64 80 
1 160320  Note_on_c 0 60 80 
1 160799  Note_on_c 0 67 0 
1 160799  Note_on_c 0 64 0 
1 160799  Note_on_c 0 60 0 
1 160800  Note_on_c 0 65 80 
1 160800  Note_on_c 0 60 80 
1 161279  Note_on_c 0 65 0 
1 161279  Note_on_c 0 60 0 
1 161280  Note_on_c 0 67 80 
1 161280  Note_on_c 0 60 80 
1 161519  Note_on_c 0 67 0 
1 161519  Note_on_c 0 60 0 
1 161520  Note_on_c 0 69 80 
1 161759  Note_on_c 0 69 0 
1 161760  Note_on_c 0 64 80 
1 161760  Note_on_c 0 60 80 
1 161999  Note_on_c 0 64 0 
1 161999  Note_on_c 0 60 0 
1 162000  Note_on_c 0 60 80 
1 162239  Note_on_c 0 60 0 
1 162240  Note_on_c 0 62 80 
1 162719  Note_on_c 0 62 0 
1 162720  Note_on_c 0 74 80 
1 162720  Note_on_c 0 62 80 
1 162959  Note_on_c 0 74 0 
1 162959  Note_on_c 0 62 0 
1 162960  Note_on_c 0 77 80 
1 162960  Note_on_c 0 65 80 
1 163199  Note_on_c 0 77 0 
1 163199  Note_on_c 0 65 0 
1 163200  Note_on_c 0 79 80 
1 163200  Note_on_c 0 74 80 
1 163200  Note_on_c 0 67 80 
1 163559  Note_on_c 0 79 0 
1 163559  Note_on_c 0 74 0 
1 163559  Note_on_c 0 67 0 
1 163560  Note_on_c 0 79 80 
1 163560  Note_on_c 0 74 80 
1 163560  Note_on_c 0 67 80 
1 163919  Note_on_c 0 79 0 
1 163919  Note_on_c 0 74 0 
1 163919  Note_on_c 0 67 0 
1 163920  Note_on_c 0 81 80 
1 163920  Note_on_c 0 74 80 
1 163920  Note_on_c 0 69 80 
1 164159  Note_on_c 0 81 0 
1 164159  Note_on_c 0 74 0 
1 164159  Note_on_c 0 69 0 
1 164160  Note_on_c 0 81 80 
1 164160  Note_on_c 0 74 80 
1 164160  Note_on_c 0 69 80 
1 164879  Note_on_c 0 81 0 
1 164879  Note_on_c 0 74 0 
1 164879  Note_on_c 0 69 0 
1 164880  Note_on_c 0 81 80 
1 164880  Note_on_c 0 74 80 
1 164880  Note_on_c 0 69 80 
1 165119  Note_on_c 0 81 0 
1 165119  Note_on_c 0 74 0 
1 165119  Note_on_c 0 69 0 
1 165120  Note_on_c 0 84 80 
1 165120  Note_on_c 0 76 80 
1 165359  Note_on_c 0 84 0 
1 165359  Note_on_c 0 76 0 
1 165360  Note_on_c 0 86 80 
1 165599  Note_on_c 0 86 0 
1 165600  Note_on_c 0 79 80 
1 165839  Note_on_c 0 79 0 
1 165840  Note_on_c 0 77 80 
1 166079  Note_on_c 0 77 0 
1 166080  Note_on_c 0 81 80 
1 166080  Note_on_c 0 77 80 
1 166080  Note_on_c 0 72 80 
1 166559  Note_on_c 0 81 0 
1 166559  Note_on_c 0 77 0 
1 166559  Note_on_c 0 72 0 
1 166560  Note_on_c 0 74 80 
1 166799  Note_on_c 0 74 0 
1 166800  Note_on_c 0 77 80 
1 167039  Note_on_c 0 77 0 
1 167040  Note_on_c 0 79 80 
1 167040  Note_on_c 0 74 80 
1 167399  Note_on_c 0 79 0 
1 167399  Note_on_c 0 74 0 
1 167400  Note_on_c 0 79 80 
1 167400  Note_on_c 0 74 80 
1 167759  Note_on_c 0 79 0 
1 167759  Note_on_c 0 74 0 
1 167760  Note_on_c 0 81 80 
1 167760  Note_on_c 0 77 80 
1 167760  Note_on_c 0 74 80 
1 167999  Note_on_c 0 81 0 
1 167999  Note_on_c 0 77 0 
1 167999  Note_on_c 0 74 0 
1 168000  Note_on_c 0 81 80 
1 168000  Note_on_c 0 77 80 
1 168000  Note_on_c 0 74 80 
1 168719  Note_on_c 0 81 0 
1 168719  Note_on_c 0 77 0 
1 168719  Note_on_c 0 74 0 
1 168720  Note_on_c 0 81 80 
1 168720  Note_on_c 0 77 80 
1 168720  Note_on_c 0 74 80 
1 168959  Note_on_c 0 81 0 
1 168959  Note_on_c 0 77 0 
1 168959  Note_on_c 0 74 0 
1 168960  Note_on_c 0 82 80 
1 168960  Note_on_c 0 72 80 
1 169199  Note_on_c 0 82 0 
1 169199  Note_on_c 0 72 0 
1 169200  Note_on_c 0 81 80 
1 169200  Note_on_c 0 72 80 
1 169439  Note_on_c 0 81 0 
1 169439  Note_on_c 0 72 0 
1 169440  Note_on_c 0 79 80 
1 169440  Note_on_c 0 72 80 
1 169679  Note_on_c 0 79 0 
1 169679  Note_on_c 0 72 0 
1 169680  Note_on_c 0 77 80 
1 169680  Note_on_c 0 72 80 
1 169919  Note_on_c 0 77 0 
1 169919  Note_on_c 0 72 0 
1 169920  Note_on_c 0 77 80 
1 169920  Note_on_c 0 72 80 
1 169920  Note_on_c 0 69 80 
1 170399  Note_on_c 0 77 0 
1 170399  Note_on_c 0 72 0 
1 170399  Note_on_c 0 69 0 
1 170400  Note_on_c 0 74 80 
1 170639  Note_on_c 0 74 0 
1 170640  Note_on_c 0 77 80 
1 170879  Note_on_c 0 77 0 
1 170880  Note_on_c 0 79 80 
1 170880  Note_on_c 0 74 80 
1 171239  Note_on_c 0 79 0 
1 171239  Note_on_c 0 74 0 
1 171240  Note_on_c 0 79 80 
1 171240  Note_on_c 0 74 80 
1 171599  Note_on_c 0 79 0 
1 171599  Note_on_c 0 74 0 
1 171600  Note_on_c 0 81 80 
1 171600  Note_on_c 0 77 80 
1 171600  Note_on_c 0 74 80 
1 171839  Note_on_c 0 81 0 
1 171839  Note_on_c 0 77 0 
1 171839  Note_on_c 0 74 0 
1 171840  Note_on_c 0 81 80 
1 171840  Note_on_c 0 77 80 
1 171840  Note_on_c 0 74 80 
1 172559  Note_on_c 0 81 0 
1 172559  Note_on_c 0 77 0 
1 172559  Note_on_c 0 74 0 
1 172560  Note_on_c 0 81 80 
1 172560  Note_on_c 0 77 80 
1 172560  Note_on_c 0 74 80 
1 172799  Note_on_c 0 81 0 
1 172799  Note_on_c 0 77 0 
1 172799  Note_on_c 0 74 0 
1 172800  Note_on_c 0 84 80 
1 172800  Note_on_c 0 76 80 
1 173039  Note_on_c 0 84 0 
1 173039  Note_on_c 0 76 0 
1 173040  Note_on_c 0 86 80 
1 173279  Note_on_c 0 86 0 
1 173280  Note_on_c 0 79 80 
1 173519  Note_on_c 0 79 0 
1 173520  Note_on_c 0 77 80 
1 173759  Note_on_c 0 77 0 
1 173760  Note_on_c 0 81 80 
1 173760  Note_on_c 0 77 80 
1 173760  Note_on_c 0 72 80 
1 174239  Note_on_c 0 81 0 
1 174239  Note_on_c 0 77 0 
1 174239  Note_on_c 0 72 0 
1 174240  Note_on_c 0 74 80 
1 174479  Note_on_c 0 74 0 
1 174480  Note_on_c 0 77 80 
1 174719  Note_on_c 0 77 0 
1 174720  Note_on_c 0 82 80 
1 174720  Note_on_c 0 74 80 
1 175199  Note_on_c 0 82 0 
1 175199  Note_on_c 0 74 0 
1 175200  Note_on_c 0 81 80 
1 175200  Note_on_c 0 74 80 
1 175679  Note_on_c 0 81 0 
1 175679  Note_on_c 0 74 0 
1 175680  Note_on_c 0 79 80 
1 175680  Note_on_c 0 76 80 
1 175680  Note_on_c 0 72 80 
1 176159  Note_on_c 0 79 0 
1 176159  Note_on_c 0 76 0 
1 176159  Note_on_c 0 72 0 
1 176160  Note_on_c 0 77 80 
1 176160  Note_on_c 0 72 80 
1 176639  Note_on_c 0 77 0 
1 176639  Note_on_c 0 72 0 
1 176640  Note_on_c 0 79 80 
1 176640  Note_on_c 0 74 80 
1 176879  Note_on_c 0 79 0 
1 176879  Note_on_c 0 74 0 
1 176880  Note_on_c 0 77 80 
1 177119  Note_on_c 0 77 0 
1 177120  Note_on_c 0 81 80 
1 177359  Note_on_c 0 81 0 
1 177360  Note_on_c 0 84 80 
1 177599  Note_on_c 0 84 0 
1 177600  Note_on_c 0 86 80 
1 177600  Note_on_c 0 81 80 
1 177839  Note_on_c 0 86 0 
1 177839  Note_on_c 0 81 0 
1 177840  Note_on_c 0 84 80 
1 177879  Note_on_c 0 84 0 
1 177880  Note_on_c 0 83 80 
1 177919  Note_on_c 0 83 0 
1 177920  Note_on_c 0 81 80 
1 177959  Note_on_c 0 81 0 
1 177960  Note_on_c 0 79 80 
1 177999  Note_on_c 0 79 0 
1 178000  Note_on_c 0 77 80 
1 178039  Note_on_c 0 77 0 
1 178040  Note_on_c 0 76 80 
1 178079  Note_on_c 0 76 0 
1 178080  Note_on_c 0 74 80 
1 178119  Note_on_c 0 74 0 
1 178120  Note_on_c 0 72 80 
1 178159  Note_on_c 0 72 0 
1 178160  Note_on_c 0 70 80 
1 178199  Note_on_c 0 70 0 
1 178200  Note_on_c 0 69 80 
1 178239  Note_on_c 0 69 0 
1 178240  Note_on_c 0 67 80 
1 178279  Note_on_c 0 67 0 
1 178280  Note_on_c 0 65 80 
1 178319  Note_on_c 0 65 0 
1 178500  Note_on_c 0 85 80 
1 178559  Note_on_c 0 85 0 
1 178560  Note_on_c 0 86 80 
1 178560  Note_on_c 0 81 80 
1 178799  Note_on_c 0 86 0 
1 178799  Note_on_c 0 81 0 
1 178800  Note_on_c 0 86 80 
1 178800  Note_on_c 0 81 80 
1 179039  Note_on_c 0 86 0 
1 179039  Note_on_c 0 81 0 
1 179040  Note_on_c 0 86 80 
1 179040  Note_on_c 0 81 80 
1 179279  Note_on_c 0 86 0 
1 179279  Note_on_c 0 81 0 
1 179280  Note_on_c 0 86 80 
1 179280  Note_on_c 0 81 80 
1 179519  Note_on_c 0 86 0 
1 179519  Note_on_c 0 81 0 
1 179520  Note_on_c 0 86 80 
1 179520  Note_on_c 0 81 80 
1 179759  Note_on_c 0 86 0 
1 179759  Note_on_c 0 81 0 
1 179760  Note_on_c 0 86 80 
1 179760  Note_on_c 0 81 80 
1 179999  Note_on_c 0 86 0 
1 179999  Note_on_c 0 81 0 
1 180000  Note_on_c 0 86 80 
1 180000  Note_on_c 0 81 80 
1 180119  Note_on_c 0 86 0 
1 180119  Note_on_c 0 81 0 
1 180120  Note_on_c 0 84 80 
1 180239  Note_on_c 0 84 0 
1 180240  Note_on_c 0 81 80 
1 180420  Note_on_c 0 78 80 
1 180479  Note_on_c 0 78 0 
1 180479  Note_on_c 0 81 0 
1 180480  Note_on_c 0 79 80 
1 180480  Note_on_c 0 74 80 
1 180719  Note_on_c 0 79 0 
1 180719  Note_on_c 0 74 0 
1 180720  Note_on_c 0 79 80 
1 180720  Note_on_c 0 74 80 
1 180959  Note_on_c 0 79 0 
1 180959  Note_on_c 0 74 0 
1 180960  Note_on_c 0 79 80 
1 180960  Note_on_c 0 74 80 
1 181199  Note_on_c 0 79 0 
1 181199  Note_on_c 0 74 0 
1 181200  Note_on_c 0 79 80 
1 181200  Note_on_c 0 74 80 
1 181439  Note_on_c 0 79 0 
1 181439  Note_on_c 0 74 0 
1 181440  Note_on_c 0 79 80 
1 181440  Note_on_c 0 74 80 
1 181679  Note_on_c 0 79 0 
1 181679  Note_on_c 0 74 0 
1 181680  Note_on_c 0 79 80 
1 181680  Note_on_c 0 74 80 
1 181919  Note_on_c 0 79 0 
1 181919  Note_on_c 0 74 0 
1 181920  Note_on_c 0 79 80 
1 181920  Note_on_c 0 74 80 
1 182039  Note_on_c 0 79 0 
1 182039  Note_on_c 0 74 0 
1 182040  Note_on_c 0 77 80 
1 182159  Note_on_c 0 77 0 
1 182160  Note_on_c 0 74 80 
1 182340  Note_on_c 0 73 80 
1 182399  Note_on_c 0 73 0 
1 182399  Note_on_c 0 74 0 
1 182400  Note_on_c 0 74 80 
1 182400  Note_on_c 0 69 80 
1 182639  Note_on_c 0 74 0 
1 182639  Note_on_c 0 69 0 
1 182640  Note_on_c 0 74 80 
1 182640  Note_on_c 0 69 80 
1 182879  Note_on_c 0 74 0 
1 182879  Note_on_c 0 69 0 
1 182880  Note_on_c 0 74 80 
1 182880  Note_on_c 0 69 80 
1 183119  Note_on_c 0 74 0 
1 183119  Note_on_c 0 69 0 
1 183120  Note_on_c 0 74 80 
1 183120  Note_on_c 0 69 80 
1 183359  Note_on_c 0 74 0 
1 183359  Note_on_c 0 69 0 
1 183360  Note_on_c 0 74 80 
1 183360  Note_on_c 0 69 80 
1 183599  Note_on_c 0 74 0 
1 183599  Note_on_c 0 69 0 
1 183600  Note_on_c 0 74 80 
1 183600  Note_on_c 0 69 80 
1 183839  Note_on_c 0 74 0 
1 183839  Note_on_c 0 69 0 
1 183840  Note_on_c 0 74 80 
1 183840  Note_on_c 0 69 80 
1 183959  Note_on_c 0 74 0 
1 183959  Note_on_c 0 69 0 
1 183960  Note_on_c 0 72 80 
1 184079  Note_on_c 0 72 0 
1 184080  Note_on_c 0 69 80 
1 184319  Note_on_c 0 69 0 
1 184320  Note_on_c 0 67 80 
1 184320  Note_on_c 0 60 80 
1 184559  Note_on_c 0 67 0 
1 184559  Note_on_c 0 60 0 
1 184560  Note_on_c 0 69 80 
1 184679  Note_on_c 0 69 0 
1 184680  Note_on_c 0 67 80 
1 184799  Note_on_c 0 67 0 
1 184800  Note_on_c 0 69 80 
1 184919  Note_on_c 0 69 0 
1 184920  Note_on_c 0 72 80 
1 185039  Note_on_c 0 72 0 
1 185040  Note_on_c 0 74 80 
1 185159  Note_on_c 0 74 0 
1 185160  Note_on_c 0 77 80 
1 185279  Note_on_c 0 77 0 
1 185280  Note_on_c 0 79 80 
1 185375  Note_on_c 0 79 0 
1 185376  Note_on_c 0 80 80 
1 185471  Note_on_c 0 80 0 
1 185472  Note_on_c 0 81 80 
1 185567  Note_on_c 0 81 0 
1 185568  Note_on_c 0 84 80 
1 185663  Note_on_c 0 84 0 
1 185664  Note_on_c 0 89 80 
1 185759  Note_on_c 0 89 0 
1 185760  Note_on_c 0 88 80 
1 185879  Note_on_c 0 88 0 
1 185880  Note_on_c 0 81 80 
1 185999  Note_on_c 0 81 0 
1 186000  Note_on_c 0 86 80 
1 186239  Note_on_c 0 86 0 
1 186240  Note_on_c 0 81 80 
1 186359  Note_on_c 0 81 0 
1 186360  Note_on_c 0 77 80 
1 186479  Note_on_c 0 77 0 
1 186480  Note_on_c 0 74 80 
1 186599  Note_on_c 0 74 0 
1 186600  Note_on_c 0 81 80 
1 186839  Note_on_c 0 81 0 
1 186840  Note_on_c 0 81 80 
1 186959  Note_on_c 0 81 0 
1 186960  Note_on_c 0 77 80 
1 187079  Note_on_c 0 77 0 
1 187080  Note_on_c 0 74 80 
1 187199  Note_on_c 0 74 0 
1 187200  Note_on_c 0 81 80 
1 187319  Note_on_c 0 81 0 
1 187320  Note_on_c 0 77 80 
1 187439  Note_on_c 0 77 0 
1 187440  Note_on_c 0 74 80 
1 187559  Note_on_c 0 74 0 
1 187560  Note_on_c 0 81 80 
1 187799  Note_on_c 0 81 0 
1 187800  Note_on_c 0 81 80 
1 187919  Note_on_c 0 81 0 
1 187920  Note_on_c 0 77 80 
1 188039  Note_on_c 0 77 0 
1 188040  Note_on_c 0 74 80 
1 188159  Note_on_c 0 74 0 
1 188160  Note_on_c 0 82 80 
1 188279  Note_on_c 0 82 0 
1 188280  Note_on_c 0 79 80 
1 188399  Note_on_c 0 79 0 
1 188400  Note_on_c 0 75 80 
1 188519  Note_on_c 0 75 0 
1 188520  Note_on_c 0 82 80 
1 188759  Note_on_c 0 82 0 
1 188760  Note_on_c 0 82 80 
1 188879  Note_on_c 0 82 0 
1 188880  Note_on_c 0 79 80 
1 188999  Note_on_c 0 79 0 
1 189000  Note_on_c 0 75 80 
1 189119  Note_on_c 0 75 0 
1 189120  Note_on_c 0 82 80 
