1 13919  Note_on_c 0 69 0 
1 13920  Note_on_c 0 62 80 
1 14039  Note_on_c 0 62 0 
1 14040  Note_on_c 0 60 80 
1 14159  Note_on_c 0 60 0 
1 14160  Note_on_c 0 62 80 
1 14279  Note_on_c 0 62 0 
1 14280  Note_on_c 0 60 80 
1 14399  Note_on_c 0 60 0 
1 14400  Note_on_c 0 67 80 
1 14639  Note_on_c 0 67 0 
1 14640  Note_on_c 0 69 80 
1 14879  Note_on_c 0 69 0 
1 14880  Note_on_c 0 62 80 
1 14999  Note_on_c 0 62 0 
1 15000  Note_on_c 0 60 80 
1 15119  Note_on_c 0 60 0 
1 15120  Note_on_c 0 62 80 
1 15239  Note_on_c 0 62 0 
1 15240  Note_on_c 0 60 80 
1 15300  Note_on_c 0 62 80 
1 15329  Note_on_c 0 62 0 
1 15330  Note_on_c 0 65 80 
1 15359  Note_on_c 0 65 0 
1 15359  Note_on_c 0 60 0 
1 15360  Note_on_c 0 67 80 
1 15599  Note_on_c 0 67 0 
1 15600  Note_on_c 0 69 80 
1 15839  Note_on_c 0 69 0 
1 15840  Note_on_c 0 72 80 
1 16079  Note_on_c 0 72 0 
1 16080  Note_on_c 0 77 80 
1 16080  Note_on_c 0 69 80 
1 16319  Note_on_c 0 77 0 
1 16319  Note_on_c 0 69 0 
1 16320  Note_on_c 0 76 80 
1 16320  Note_on_c 0 69 80 
1 16439  Note_on_c 0 76 0 
1 16439  Note_on_c 0 69 0 
1 16440  Note_on_c 0 77 80 
1 16559  Note_on_c 0 77 0 
1 16560  Note_on_c 0 76 80 
1 16679  Note_on_c 0 76 0 
1 16680  Note_on_c 0 74 80 
1 16799  Note_on_c 0 74 0 
1 16800  Note_on_c 0 72 80 
1 17039  Note_on_c 0 72 0 
1 17040  Note_on_c 0 69 80 
1 17279  Note_on_c 0 69 0 
1 17280  Note_on_c 0 67 80 
1 17280  Note_on_c 0 60 80 
1 17519  Note_on_c 0 67 0 
1 17519  Note_on_c 0 60 0 
